Region,School Year,Grade Level,Students
Region I - Ilocos Region,2010-2011,Kindergarten,84553.0
Region II - Cagayan Valley,2010-2011,Kindergarten,27079.0
Region III - Central Luzon,2010-2011,Kindergarten,141901.0
Region IV-A - CALABARZON,2010-2011,Kindergarten,135149.0
Region IV-B - MIMAROPA,2010-2011,Kindergarten,47289.0
Region V - Bicol Region,2010-2011,Kindergarten,106282.0
Region VI - Western Visayas,2010-2011,Kindergarten,88707.0
Region VII - Central Visayas,2010-2011,Kindergarten,120553.0
Region VIII - Eastern Visayas,2010-2011,Kindergarten,67173.0
Region IX - Zamboanga Peninsula,2010-2011,Kindergarten,60672.0
Region X - Northern Mindanao,2010-2011,Kindergarten,57102.0
Region XI - Davao Region,2010-2011,Kindergarten,42417.0
Region XII - Soccsksargen,2010-2011,Kindergarten,61520.0
CARAGA - CARAGA,2010-2011,Kindergarten,48737.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2010-2011,Kindergarten,55221.0
CAR - Cordillera Administrative Region,2010-2011,Kindergarten,19344.0
NCR - National Capital Region,2010-2011,Kindergarten,69614.0
Region I - Ilocos Region,2011-2012,Kindergarten,90902.0
Region II - Cagayan Valley,2011-2012,Kindergarten,58792.0
Region III - Central Luzon,2011-2012,Kindergarten,154152.0
Region IV-A - CALABARZON,2011-2012,Kindergarten,171378.0
Region IV-B - MIMAROPA,2011-2012,Kindergarten,64259.0
Region V - Bicol Region,2011-2012,Kindergarten,131113.0
Region VI - Western Visayas,2011-2012,Kindergarten,136092.0
Region VII - Central Visayas,2011-2012,Kindergarten,142558.0
Region VIII - Eastern Visayas,2011-2012,Kindergarten,95618.0
Region IX - Zamboanga Peninsula,2011-2012,Kindergarten,75248.0
Region X - Northern Mindanao,2011-2012,Kindergarten,103098.0
Region XI - Davao Region,2011-2012,Kindergarten,70704.0
Region XII - Soccsksargen,2011-2012,Kindergarten,94075.0
CARAGA - CARAGA,2011-2012,Kindergarten,55565.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2011-2012,Kindergarten,84982.0
CAR - Cordillera Administrative Region,2011-2012,Kindergarten,31245.0
NCR - National Capital Region,2011-2012,Kindergarten,111473.0
Region I - Ilocos Region,2012-2013,Kindergarten,96075.0
Region II - Cagayan Valley,2012-2013,Kindergarten,66564.0
Region III - Central Luzon,2012-2013,Kindergarten,171644.0
Region IV-A - CALABARZON,2012-2013,Kindergarten,196791.0
Region IV-B - MIMAROPA,2012-2013,Kindergarten,68150.0
Region V - Bicol Region,2012-2013,Kindergarten,131665.0
Region VI - Western Visayas,2012-2013,Kindergarten,144810.0
Region VII - Central Visayas,2012-2013,Kindergarten,137539.0
Region VIII - Eastern Visayas,2012-2013,Kindergarten,96707.0
Region IX - Zamboanga Peninsula,2012-2013,Kindergarten,80917.0
Region X - Northern Mindanao,2012-2013,Kindergarten,100584.0
Region XI - Davao Region,2012-2013,Kindergarten,83750.0
Region XII - Soccsksargen,2012-2013,Kindergarten,96201.0
CARAGA - CARAGA,2012-2013,Kindergarten,54003.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2012-2013,Kindergarten,90962.0
CAR - Cordillera Administrative Region,2012-2013,Kindergarten,31395.0
NCR - National Capital Region,2012-2013,Kindergarten,125748.0
Region I - Ilocos Region,2013-2014,Kindergarten,99468.0
Region II - Cagayan Valley,2013-2014,Kindergarten,69456.0
Region III - Central Luzon,2013-2014,Kindergarten,192426.0
Region IV-A - CALABARZON,2013-2014,Kindergarten,220092.0
Region IV-B - MIMAROPA,2013-2014,Kindergarten,69930.0
Region V - Bicol Region,2013-2014,Kindergarten,136829.0
Region VI - Western Visayas,2013-2014,Kindergarten,144748.0
Region VII - Central Visayas,2013-2014,Kindergarten,144425.0
Region VIII - Eastern Visayas,2013-2014,Kindergarten,96323.0
Region IX - Zamboanga Peninsula,2013-2014,Kindergarten,79445.0
Region X - Northern Mindanao,2013-2014,Kindergarten,97571.0
Region XI - Davao Region,2013-2014,Kindergarten,92727.0
Region XII - Soccsksargen,2013-2014,Kindergarten,96060.0
CARAGA - CARAGA,2013-2014,Kindergarten,57154.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2013-2014,Kindergarten,93491.0
CAR - Cordillera Administrative Region,2013-2014,Kindergarten,32708.0
NCR - National Capital Region,2013-2014,Kindergarten,142954.0
Region I - Ilocos Region,2014-2015,Kindergarten,92728.0
Region II - Cagayan Valley,2014-2015,Kindergarten,66683.0
Region III - Central Luzon,2014-2015,Kindergarten,188279.0
Region IV-A - CALABARZON,2014-2015,Kindergarten,217833.0
Region IV-B - MIMAROPA,2014-2015,Kindergarten,68498.0
Region V - Bicol Region,2014-2015,Kindergarten,130790.0
Region VI - Western Visayas,2014-2015,Kindergarten,136548.0
Region VII - Central Visayas,2014-2015,Kindergarten,138561.0
Region VIII - Eastern Visayas,2014-2015,Kindergarten,92104.0
Region IX - Zamboanga Peninsula,2014-2015,Kindergarten,75556.0
Region X - Northern Mindanao,2014-2015,Kindergarten,96435.0
Region XI - Davao Region,2014-2015,Kindergarten,104930.0
Region XII - Soccsksargen,2014-2015,Kindergarten,95884.0
CARAGA - CARAGA,2014-2015,Kindergarten,56654.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2014-2015,Kindergarten,78562.0
CAR - Cordillera Administrative Region,2014-2015,Kindergarten,31346.0
NCR - National Capital Region,2014-2015,Kindergarten,141569.0
Region I - Ilocos Region,2015-2016,Kindergarten,86331.0
Region II - Cagayan Valley,2015-2016,Kindergarten,63616.0
Region III - Central Luzon,2015-2016,Kindergarten,188118.0
Region IV-A - CALABARZON,2015-2016,Kindergarten,206082.0
Region IV-B - MIMAROPA,2015-2016,Kindergarten,67015.0
Region V - Bicol Region,2015-2016,Kindergarten,131324.0
Region VI - Western Visayas,2015-2016,Kindergarten,126393.0
Region VII - Central Visayas,2015-2016,Kindergarten,127407.0
Region VIII - Eastern Visayas,2015-2016,Kindergarten,94032.0
Region IX - Zamboanga Peninsula,2015-2016,Kindergarten,71425.0
Region X - Northern Mindanao,2015-2016,Kindergarten,91727.0
Region XI - Davao Region,2015-2016,Kindergarten,99492.0
Region XII - Soccsksargen,2015-2016,Kindergarten,89045.0
CARAGA - CARAGA,2015-2016,Kindergarten,57132.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2015-2016,Kindergarten,73283.0
CAR - Cordillera Administrative Region,2015-2016,Kindergarten,29274.0
NCR - National Capital Region,2015-2016,Kindergarten,135617.0
Region I - Ilocos Region,2016-2017,Kindergarten,74712.0
Region II - Cagayan Valley,2016-2017,Kindergarten,54511.0
Region III - Central Luzon,2016-2017,Kindergarten,169474.0
Region IV-A - CALABARZON,2016-2017,Kindergarten,206206.0
Region IV-B - MIMAROPA,2016-2017,Kindergarten,58344.0
Region V - Bicol Region,2016-2017,Kindergarten,114726.0
Region VI - Western Visayas,2016-2017,Kindergarten,105468.0
Region VII - Central Visayas,2016-2017,Kindergarten,113273.0
Region VIII - Eastern Visayas,2016-2017,Kindergarten,85274.0
Region IX - Zamboanga Peninsula,2016-2017,Kindergarten,71050.0
Region X - Northern Mindanao,2016-2017,Kindergarten,85705.0
Region XI - Davao Region,2016-2017,Kindergarten,79307.0
Region XII - Soccsksargen,2016-2017,Kindergarten,81737.0
CARAGA - CARAGA,2016-2017,Kindergarten,49634.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2016-2017,Kindergarten,81325.0
CAR - Cordillera Administrative Region,2016-2017,Kindergarten,25759.0
