Region,School Year,Grade Level,Students
Region I - Ilocos Region,2010-2011,Grade 7,84273.0
Region II - Cagayan Valley,2010-2011,Grade 7,54156.0
Region III - Central Luzon,2010-2011,Grade 7,171749.0
Region IV-A - CALABARZON,2010-2011,Grade 7,205849.0
Region IV-B - MIMAROPA,2010-2011,Grade 7,56084.0
Region V - Bicol Region,2010-2011,Grade 7,115366.0
Region VI - Western Visayas,2010-2011,Grade 7,134986.0
Region VII - Central Visayas,2010-2011,Grade 7,125737.0
Region VIII - Eastern Visayas,2010-2011,Grade 7,90002.0
Region IX - Zamboanga Peninsula,2010-2011,Grade 7,64729.0
Region X - Northern Mindanao,2010-2011,Grade 7,71037.0
Region XI - Davao Region,2010-2011,Grade 7,75186.0
Region XII - Soccsksargen,2010-2011,Grade 7,69835.0
CARAGA - CARAGA,2010-2011,Grade 7,46965.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2010-2011,Grade 7,56998.0
CAR - Cordillera Administrative Region,2010-2011,Grade 7,24878.0
NCR - National Capital Region,2010-2011,Grade 7,195183.0
Region I - Ilocos Region,2011-2012,Grade 7,82278.0
Region II - Cagayan Valley,2011-2012,Grade 7,52504.0
Region III - Central Luzon,2011-2012,Grade 7,170664.0
Region IV-A - CALABARZON,2011-2012,Grade 7,205938.0
Region IV-B - MIMAROPA,2011-2012,Grade 7,55771.0
Region V - Bicol Region,2011-2012,Grade 7,119716.0
Region VI - Western Visayas,2011-2012,Grade 7,135105.0
Region VII - Central Visayas,2011-2012,Grade 7,123904.0
Region VIII - Eastern Visayas,2011-2012,Grade 7,89578.0
Region IX - Zamboanga Peninsula,2011-2012,Grade 7,64687.0
Region X - Northern Mindanao,2011-2012,Grade 7,70622.0
Region XI - Davao Region,2011-2012,Grade 7,75555.0
Region XII - Soccsksargen,2011-2012,Grade 7,71246.0
CARAGA - CARAGA,2011-2012,Grade 7,46641.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2011-2012,Grade 7,54850.0
CAR - Cordillera Administrative Region,2011-2012,Grade 7,24838.0
NCR - National Capital Region,2011-2012,Grade 7,190292.0
Region I - Ilocos Region,2012-2013,Grade 7,86007.0
Region II - Cagayan Valley,2012-2013,Grade 7,53499.0
Region III - Central Luzon,2012-2013,Grade 7,175897.0
Region IV-A - CALABARZON,2012-2013,Grade 7,212275.0
Region IV-B - MIMAROPA,2012-2013,Grade 7,56886.0
Region V - Bicol Region,2012-2013,Grade 7,120238.0
Region VI - Western Visayas,2012-2013,Grade 7,134289.0
Region VII - Central Visayas,2012-2013,Grade 7,130264.0
Region VIII - Eastern Visayas,2012-2013,Grade 7,92121.0
Region IX - Zamboanga Peninsula,2012-2013,Grade 7,62798.0
Region X - Northern Mindanao,2012-2013,Grade 7,69611.0
Region XI - Davao Region,2012-2013,Grade 7,75946.0
Region XII - Soccsksargen,2012-2013,Grade 7,71210.0
CARAGA - CARAGA,2012-2013,Grade 7,47122.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2012-2013,Grade 7,48908.0
CAR - Cordillera Administrative Region,2012-2013,Grade 7,25614.0
NCR - National Capital Region,2012-2013,Grade 7,196030.0
Region I - Ilocos Region,2013-2014,Grade 7,87149.0
Region II - Cagayan Valley,2013-2014,Grade 7,54610.0
Region III - Central Luzon,2013-2014,Grade 7,181271.0
Region IV-A - CALABARZON,2013-2014,Grade 7,212123.0
Region IV-B - MIMAROPA,2013-2014,Grade 7,58033.0
Region V - Bicol Region,2013-2014,Grade 7,122133.0
Region VI - Western Visayas,2013-2014,Grade 7,134516.0
Region VII - Central Visayas,2013-2014,Grade 7,131199.0
Region VIII - Eastern Visayas,2013-2014,Grade 7,93689.0
Region IX - Zamboanga Peninsula,2013-2014,Grade 7,62516.0
Region X - Northern Mindanao,2013-2014,Grade 7,70273.0
Region XI - Davao Region,2013-2014,Grade 7,77546.0
Region XII - Soccsksargen,2013-2014,Grade 7,71859.0
CARAGA - CARAGA,2013-2014,Grade 7,49674.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2013-2014,Grade 7,47671.0
CAR - Cordillera Administrative Region,2013-2014,Grade 7,25809.0
NCR - National Capital Region,2013-2014,Grade 7,194130.0
Region I - Ilocos Region,2014-2015,Grade 7,85018.0
Region II - Cagayan Valley,2014-2015,Grade 7,55333.0
Region III - Central Luzon,2014-2015,Grade 7,178448.0
Region IV-A - CALABARZON,2014-2015,Grade 7,217372.0
Region IV-B - MIMAROPA,2014-2015,Grade 7,60076.0
