Region,School Year,Grade Level,Students
Region I - Ilocos Region,2016-2017,Grade 11 (TVL),24406.0
Region II - Cagayan Valley,2016-2017,Grade 11 (TVL),11284.0
Region III - Central Luzon,2016-2017,Grade 11 (TVL),36297.0
Region IV-A - CALABARZON,2016-2017,Grade 11 (TVL),36577.0
Region IV-B - MIMAROPA,2016-2017,Grade 11 (TVL),12602.0
Region V - Bicol Region,2016-2017,Grade 11 (TVL),31890.0
Region VI - Western Visayas,2016-2017,Grade 11 (TVL),39718.0
Region VII - Central Visayas,2016-2017,Grade 11 (TVL),29194.0
Region VIII - Eastern Visayas,2016-2017,Grade 11 (TVL),24513.0
Region IX - Zamboanga Peninsula,2016-2017,Grade 11 (TVL),12834.0
Region X - Northern Mindanao,2016-2017,Grade 11 (TVL),18917.0
Region XI - Davao Region,2016-2017,Grade 11 (TVL),17811.0
Region XII - Soccsksargen,2016-2017,Grade 11 (TVL),20350.0
CARAGA - CARAGA,2016-2017,Grade 11 (TVL),12650.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2016-2017,Grade 11 (TVL),5833.0
CAR - Cordillera Administrative Region,2016-2017,Grade 11 (TVL),4757.0
NCR - National Capital Region,2016-2017,Grade 11 (TVL),15103.0
Region I - Ilocos Region,2017-2018,Grade 11 (TVL),22975.0
Region II - Cagayan Valley,2017-2018,Grade 11 (TVL),12059.0
Region III - Central Luzon,2017-2018,Grade 11 (TVL),35008.0
Region IV-A - CALABARZON,2017-2018,Grade 11 (TVL),35431.0
Region IV-B - MIMAROPA,2017-2018,Grade 11 (TVL),12139.0
Region V - Bicol Region,2017-2018,Grade 11 (TVL),31472.0
Region VI - Western Visayas,2017-2018,Grade 11 (TVL),36958.0
Region VII - Central Visayas,2017-2018,Grade 11 (TVL),30550.0
Region VIII - Eastern Visayas,2017-2018,Grade 11 (TVL),21936.0
Region IX - Zamboanga Peninsula,2017-2018,Grade 11 (TVL),12932.0
Region X - Northern Mindanao,2017-2018,Grade 11 (TVL),15523.0
Region XI - Davao Region,2017-2018,Grade 11 (TVL),18083.0
Region XII - Soccsksargen,2017-2018,Grade 11 (TVL),17863.0
CARAGA - CARAGA,2017-2018,Grade 11 (TVL),12816.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2017-2018,Grade 11 (TVL),5100.0
CAR - Cordillera Administrative Region,2017-2018,Grade 11 (TVL),4694.0
NCR - National Capital Region,2017-2018,Grade 11 (TVL),16626.0
Region I - Ilocos Region,2018-2019,Grade 11 (TVL),25797.0
Region II - Cagayan Valley,2018-2019,Grade 11 (TVL),13623.0
Region III - Central Luzon,2018-2019,Grade 11 (TVL),37116.0
Region IV-A - CALABARZON,2018-2019,Grade 11 (TVL),39384.0
Region IV-B - MIMAROPA,2018-2019,Grade 11 (TVL),13904.0
Region V - Bicol Region,2018-2019,Grade 11 (TVL),34166.0
Region VI - Western Visayas,2018-2019,Grade 11 (TVL),42739.0
Region VII - Central Visayas,2018-2019,Grade 11 (TVL),34490.0
Region VIII - Eastern Visayas,2018-2019,Grade 11 (TVL),25914.0
Region IX - Zamboanga Peninsula,2018-2019,Grade 11 (TVL),19761.0
Region X - Northern Mindanao,2018-2019,Grade 11 (TVL),18799.0
Region XI - Davao Region,2018-2019,Grade 11 (TVL),23114.0
Region XII - Soccsksargen,2018-2019,Grade 11 (TVL),21634.0
CARAGA - CARAGA,2018-2019,Grade 11 (TVL),14944.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2018-2019,Grade 11 (TVL),5352.0
CAR - Cordillera Administrative Region,2018-2019,Grade 11 (TVL),5143.0
NCR - National Capital Region,2018-2019,Grade 11 (TVL),19588.0
Region I - Ilocos Region,2019-2020,Grade 11 (TVL),26641.0
Region II - Cagayan Valley,2019-2020,Grade 11 (TVL),13497.0
Region III - Central Luzon,2019-2020,Grade 11 (TVL),36582.0
Region IV-A - CALABARZON,2019-2020,Grade 11 (TVL),37563.0
Region IV-B - MIMAROPA,2019-2020,Grade 11 (TVL),14393.0
Region V - Bicol Region,2019-2020,Grade 11 (TVL),34034.0
Region VI - Western Visayas,2019-2020,Grade 11 (TVL),44631.0
Region VII - Central Visayas,2019-2020,Grade 11 (TVL),36072.0
Region VIII - Eastern Visayas,2019-2020,Grade 11 (TVL),26963.0
Region IX - Zamboanga Peninsula,2019-2020,Grade 11 (TVL),22573.0
Region X - Northern Mindanao,2019-2020,Grade 11 (TVL),19967.0
Region XI - Davao Region,2019-2020,Grade 11 (TVL),22989.0
Region XII - Soccsksargen,2019-2020,Grade 11 (TVL),20676.0
CARAGA - CARAGA,2019-2020,Grade 11 (TVL),15293.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2019-2020,Grade 11 (TVL),6893.0
CAR - Cordillera Administrative Region,2019-2020,Grade 11 (TVL),4888.0
NCR - National Capital Region,2019-2020,Grade 11 (TVL),20354.0
Region I - Ilocos Region,2020-2021,Grade 11 (TVL),26643.0
Region II - Cagayan Valley,2020-2021,Grade 11 (TVL),12652.0
Region III - Central Luzon,2020-2021,Grade 11 (TVL),35749.0
Region IV-A - CALABARZON,2020-2021,Grade 11 (TVL),37241.0
Region IV-B - MIMAROPA,2020-2021,Grade 11 (TVL),13000.0
Region V - Bicol Region,2020-2021,Grade 11 (TVL),26852.0
Region VI - Western Visayas,2020-2021,Grade 11 (TVL),45780.0
Region VII - Central Visayas,2020-2021,Grade 11 (TVL),33673.0
Region VIII - Eastern Visayas,2020-2021,Grade 11 (TVL),25293.0
Region IX - Zamboanga Peninsula,2020-2021,Grade 11 (TVL),22390.0
