School Year,Region,Teachers,Students,Student-to-Teacher Ratio
2010-2011,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,14317.0,766468.0,53.53551721729413
2010-2011,CAR - Cordillera Administrative Region,7848.0,236816.0,30.17533129459735
2010-2011,CARAGA - CARAGA,11569.0,443507.0,38.33581121963869
2010-2011,NCR - National Capital Region,31314.0,1301504.0,41.56300696174235
2010-2011,Region I - Ilocos Region,21604.0,703219.0,32.55040733197556
2010-2011,Region II - Cagayan Valley,14728.0,450855.0,30.612099402498643
2010-2011,Region III - Central Luzon,34952.0,1429093.0,40.88730258640421
2010-2011,Region IV-A - CALABARZON,37190.0,1660065.0,44.63740252756117
2010-2011,Region IV-B - MIMAROPA,12900.0,508155.0,39.39186046511628
2010-2011,Region IX - Zamboanga Peninsula,16604.0,627117.0,37.769031558660565
2010-2011,Region V - Bicol Region,27056.0,1074029.0,39.69651833234772
2010-2011,Region VI - Western Visayas,32774.0,1091834.0,33.31402941355953
2010-2011,Region VII - Central Visayas,25940.0,1098109.0,42.33265227447957
2010-2011,Region VIII - Eastern Visayas,21860.0,777899.0,35.58549862763037
2010-2011,Region X - Northern Mindanao,17999.0,699666.0,38.872492916273124
2010-2011,Region XI - Davao Region,17148.0,698488.0,40.732913459295546
2010-2011,Region XII - Soccsksargen,15761.0,671948.0,42.63358923926147
2011-2012,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,13104.0,770996.0,58.83669108669109
2011-2012,CAR - Cordillera Administrative Region,7999.0,247740.0,30.97137142142768
2011-2012,CARAGA - CARAGA,11947.0,455911.0,38.16112831673223
2011-2012,NCR - National Capital Region,31640.0,1360030.0,42.98451327433628
2011-2012,Region I - Ilocos Region,21790.0,717753.0,32.93955943093162
2011-2012,Region II - Cagayan Valley,14521.0,486329.0,33.49142621031609
2011-2012,Region III - Central Luzon,35418.0,1461183.0,41.25537862104015
2011-2012,Region IV-A - CALABARZON,37501.0,1742772.0,46.47268072851391
2011-2012,Region IV-B - MIMAROPA,13215.0,537109.0,40.643889519485434
2011-2012,Region IX - Zamboanga Peninsula,16800.0,659331.0,39.245892857142856
2011-2012,Region V - Bicol Region,27299.0,1119296.0,41.00135536100223
2011-2012,Region VI - Western Visayas,33046.0,1159357.0,35.083126550868485
2011-2012,Region VII - Central Visayas,26232.0,1150513.0,43.859141506556874
2011-2012,Region VIII - Eastern Visayas,22003.0,805453.0,36.606508203426806
2011-2012,Region X - Northern Mindanao,18188.0,760533.0,41.81509786672531
